#距離が複数の値ある場合はどれか一つのものを使う。Niが複数ある場合は平均。

# Lは後回し。

SN           D_Mpc       M_Ni		       Citation
2015bs	     120.2	 0.049					Anderson_etal_2018
2016bkv	     14.4	 0.022					Hosseinzadeh_etal_2018
2016ija	     20.0	 0.21					Tartaglia_etal_2018
### 2016X	      ##### MONTHRY NOTICEが見れない。(Huang_etal_2018)
######### Valenti_etal_2016はNiの値がテーブルで載せてない。Gutiérrez_etal_2017 もNiはなさそう。#######
#### Tsvetkov et al. (2018)も論文見れなかったです。x

############

#plateauでの明るさがある論文(多分網羅はしていない。): Inserra_etal_2013, Nadyozhin_2003??, Spiro_etal_2014, Valenti_etal_2016
