SN,Ni56 mass,Average/single values,Reference for Ni56 mass,Host galaxy,Distance (Mpc),Reference for distance
SN2003Z,0.0047,0.0242,Valenti+16,NGC 2742,22.500,NED
,0.0050,,Spiro+14,,,NED
,0.0630,,Utrobin&Chugai+11,,,NED
SN2004A,0.0461,0.0558,Pejcha&Prieto15,NGC 6207,17.000,NED
,0.0320,,Gurugubelli+08,,,NED
,0.0850,,Martinez+19,,,NED
,0.0600,,Martinez+20,,,NED
SN2004dj,0.0153,0.0176,Pejcha&Prieto15,NGC 2403,3.400,NED
,0.0200,,Vinko+06,,,NED
SN2004eg,0.0070,0.0070,Spiro+14,UGC 3053,35.330,NED
SN2004ej,0.0190,0.0190,Gutierrez+17,NGC 3095,32.700,NED
SN2004et,0.0414,0.0602,Valenti+16,NGC 6946,5.500,NED
,0.0359,,Pejcha&Prieto15,,,NED
,0.0560,,Spiro+14,,,NED
,0.0590,,Otsuka+12,,,NED
,0.0530,,Hiller+19,,,NED
,0.0630,,Martinez+19,,,NED
,0.1000,,Ricks+19,,,NED
,0.0680,,Utrobin&Chugai+11,,,NED
,0.0480,,Martinez+20,,,NED
,0.0780,,Sharon+20,,,NED
SN2004fx,0.0140,0.0140,Gutierrez+17,MCG-02-14-03,34.000,NED
SN2005af,0.0260,0.0260,Gutierrez+17,NGC 4945,4.200,NED
SN2005cs,0.0021,0.0041,Valenti+16,NGC 5194,7.200,NED
,0.0047,,Pejcha&Prieto15,,,NED
,0.0060,,Spiro+14,,,NED
,0.0050,,Otsuka+12,,,NED
,0.0030,,Pastorello+09,,,NED
,0.0015,,Martinez+19,,,NED
,0.0082,,Utrobin&Chugai+11,,,NED
,0.0020,,Martinez+20,,,NED
,0.0040,,Sharon+20,,,NED
SN2006bc,0.0270,0.0270,Otsuka+12,NGC 2397,22.000,NED
SN2006bp,0.0015,0.0015,Pejcha&Prieto15,NGC 3953,16.600,NED
SN2006ov,0.0020,0.0020,Spiro+14,NGC 4303,14.600,NED
SN2006V,0.1270,0.1270,Taddia+12,UGC 6510,78.000,NED
SN2007it,0.0721,0.0780,Valenti+16,NGC 5530,12.200,NED
,0.0720,,Gutierrez+17,,,NED
,0.0900,,Andrews+11,,,NED
SN2007od,0.0032,0.0066,Valenti+16,UGC 12846,27.300,NED
,0.0100,,Pejcha&Prieto15,,,NED
SN2008bk,0.0160,0.0092,Pejcha&Prieto15,NGC 7793,3.800,NED
,0.0070,,Spiro+14,,,NED
,0.0070,,Gutierrez+17,,,NED
,0.0090,,Lisakov+17,,,NED
,0.0085,,Martinez+19,,,NED
,0.0086,,Lisakov+18,,,NED
,0.0080,,Martinez+20,,,NED
SN2008in,0.0037,0.0155,Valenti+16,NGC 4303,14.600,NED
,0.0314,,Pejcha&Prieto15,,,NED
,0.0120,,Spiro+14,,,NED
,0.0150,,Roy+11,,,NED
SN2008gz,0.0500,0.0500,Roy+11,NGC 3672,24.900,NED
SN2008M,0.0200,0.0200,Gutierrez+17,ESO-121-G26,40.000,NED
SN2009E,0.0400,0.0400,Pastorello+12,NGC 4141,40.800,NED
SN2009bw,0.0234,0.0329,Valenti+16,UGC 2890,13.600,NED
,0.0153,,Pejcha&Prieto15,,,NED
,0.0600,,Ricks+19,,,NED
SN2009dd,0.0466,0.0311,Valenti+16,NGC 4088,13.900,NED
,0.0178,,Pejcha&Prieto15,,,NED
,0.0290,,Inserra+13,,,NED
SN2009ib,0.0759,0.0579,Muller+17,NGC 1559,14.900,NED
,0.0520,,Valenti+16,,,NED
,0.0460,,Takats+15,,,NED
SN2009js,0.0635,0.0348,Pejcha&Prieto15,NGC 918,19.100,NED
,0.0060,,Gandi+13,,,NED
SN2009kf,0.4000,0.4000,Utrobin&Chugai+11,SDSS J161254.19 + 553814.4,895.360,Boticella+10
SN2009kr,0.0085,0.0087,Valenti+16,NGC 1832,24.400,NED
,0.0090,,Valenti+15,,,NED
SN2009N,0.0165,0.0216,Valenti+16,NGC 4487,17.200,NED
,0.0294,,Pejcha&Prieto15,,,NED
,0.0200,,Spiro+14,,,NED
,0.0200,,Takats+14,,,NED
