SN,Ni56 mass,Average/single values,Reference,,Host_galaxy,Distance,,
,0.4000,,Melandri+14,,,,,
iPTF13dnt,0.4690,0.4690,Taddia+19,,**** not found,643.1,,# Taddia+19
SN2013dx,0.3160,0.2580,Prentice+16,,A142914+1546,642.7,,# Prentice+16 (https://ui.adsabs.harvard.edu/abs/2016MNRAS.458.2973P/abstract)
,0.2000,,D’Elia+15,,,,,
iPTF13ebw,0.1420,0.1420,Taddia+19,,**** not found,308.6,,# Taddia+19
iPTF13u,0.1990,0.1990,Taddia+19,,**** not found,466.1,,# Taddia+19
iPTF14gaq,0.1950,0.1950,Taddia+19,,**** not found,373.5,,# Taddia+19
iPTF14dby,0.2230,0.1890,Prentice+16,,,322.1,#Host not found.,# Prentice+16 (https://ui.adsabs.harvard.edu/abs/2016MNRAS.458.2973P/abstract)
,0.1550,,Taddia+19,,,,,
SN2014ad,0.2400,0.2400,Sahu+18,,MRK 1309 NED01,28.8,,# Hubble distance
iPTF15dqg,0.4610,0.4610,Taddia+19,,**** not found,254.3,,# Taddia+19
iPTF15eov,5.1140,5.1140,Taddia+19,,**** not found,233.3,,# Taddia+19
iPTF16asu,1.7600,2.2600,Wang+19,,**** not found,917,,# Taddia+19
,2.7600,,Taddia+19,,,,,
iPTF16ilj,0.4620,0.4620,Taddia+19,,**** not found,170.6,,# Taddia+19
SN2016jca,0.2200,0.2200,Cano+17,,**** not found,700,,# Cano+17 (https://ui.adsabs.harvard.edu/abs/2017A%26A...605A.107C/abstract)
,0.2700,,Ashall+19,,,,,
iPTF16gox,0.1230,0.1230,Taddia+19,,**** not found,181.9,,# Taddia+19
iPTF17cw,0.6400,0.5565,Corsi+17,,**** not found,429,,# Corsi+17 (https://ui.adsabs.harvard.edu/abs/2017ApJ...847...54C/abstract)
,0.4730,,Taddia+19,,,,,
SN2018bvw,0.3000,0.3000,Ho+20,,**** not found,248.85,,# Ho+20
