SN,Ni56 mass,Average/single values,stdev,Reference,,Host Galaxy,Distance,Reference_for_Host_Galaxy,Reference_for_Distancec
SN2013F,0.1500,0.1500,,Prentice+19,,IC 5325,18.1,,
SN2014L,0.0750,0.0750,,Zhang+18,,NGC 4254,15.2,,
iPTF15dld,0.1500,0.1500,,Pian+17,,,200,# Host not found in OPEN SN CATALOG,#Pian+17 (https://ui.adsabs.harvard.edu/abs/2017MNRAS.466.1848P/abstract)
iPTF15dtg,0.4200,0.3550,,Taddia+16,,,232,# Host not found in OPEN SN CATALOG,#Taddia+16 (https://ui.adsabs.harvard.edu/abs/2016A%26A...592A..89T/abstract)
,0.2900,,,Taddia+19,,,,,
SN2016coi,0.1400,0.1200,0.0283,Prentice+18,,UGC 11868,17.2,,
,0.1000,,,Kumar+18,,,,,
,0.1200,,,Sharon+20,,,,,
SN2016iae,0.1300,0.1300,,Prentice+19,,NGC 1532,17.9,,
SN2016P,0.0900,0.0900,,Prentice+19,,NGC 5374,68.7,,
SN2017dcc,0.1600,0.1600,,Prentice+19,,***not found,102.802,,# Prentice+19
SN2017ein,0.1350,0.1325,,Van dyk+18,,NGC 3938,12.7,,
,0.1300,,,Xiang+19,,,,,
SN2017ifh,0.1600,0.1600,,Prentice+19,,***not found,156.315,,# Prentice+19
SN2017ixz,0.0560,0.0560,,Prentice+19,,2MASX J07470232+2646347,106.5,,# Hubble distance
SN2018cbz,0.1900,0.1900,,Prentice+19,,IC 908,109,,# Hubble distance
SN2018ie,0.0260,0.0260,,Prentice+19,,NGC 3456,47.5,,
